BioGasFermentation:ExpParam,11
 
name,importable
InocToSubRatio,2
ProcessTemp,42
MeasurementType,AMPTSV2
CO2 concentration [%] of flush gas,0
Process temperature [Celsius],45
Mixer on time [min],15
Mixer off time [min],5
Mixer speed adjustment [%],60
Eliminate overestimation,No
timeScale,Day
 
BioGasFermentation:metaData,15,16
 
Row,Layout,Blank,Excluded,Flow Cell nr.,Name,Substrate VS/COD amount [g],Inoculum VS/COD amount [g],Type of unit [VS/COD],Headspace volume [ml],Assumed CH4 content [%],yield,sd_yield,production,sd_production,time_production,sd_time_production
R1,Blank,TRUE,FALSE,1,Blank 1,0,12.44,VS,200,60,2.03999999999996,2.8849956672411,71.6,5.26794551983978,1,0
R2,Blank,TRUE,FALSE,2,Blank 2,0,12.44,VS,200,60,-2.04000000000002,2.8849956672411,79.05,5.26794551983978,1,0
R3,Cellulose,FALSE,FALSE,3,Cellulose,8.22,16.43,VS,200,60,28.9901698468953,NA,182.26,NA,3,NA
R4,S1 ctrl,FALSE,FALSE,4,untr. sub A 1 1,5.59,11.18,VS,200,60,625.882259892205,9.87799079478673,699.8,0.777817459305218,3,0
R5,S1 ctrl,FALSE,FALSE,5,untr. sub A 1 2,5.59,11.18,VS,200,60,611.912671341221,9.87799079478673,700.9,0.777817459305218,3,0
R6,S1 7d,FALSE,FALSE,6,Treatment A - Sub A 1,6.7,13.4,VS,200,60,255.168661515573,9.49000623347673,355.2,6.49124025129251,3,0
R7,S1 7d,FALSE,FALSE,7,Treatment A - Sub A 2,6.7,13.4,VS,200,60,268.589557037961,9.49000623347673,364.38,6.49124025129251,3,0
R8,S1 4d,FALSE,FALSE,8,Treatment B - Sub A 1,3.72,7.43,VS,200,60,1095.30245825122,11.2129647909123,659.32,20.7394418922015,3,0
R9,S1 4d,FALSE,FALSE,9,Treatment B - Sub A 2,3.72,7.43,VS,200,60,1079.4449313695,11.2129647909123,629.99,20.7394418922015,3,0
R10,S2 ctrl,FALSE,FALSE,10,untr. sub B 1 1,6.46,12.94,VS,200,60,77.8018924273043,0.0207972582702038,119.88,0.0494974746830535,1,0
R11,S2 ctrl,FALSE,FALSE,11,untr. sub B 1 2,6.46,12.94,VS,200,60,77.8313041920102,0.0207972582702038,119.81,0.0494974746830535,1,0
R12,S2 4d,FALSE,FALSE,12,Treatment A - Sub B 1,1.94,3.88,VS,200,60,402.727085888554,2.21973211207529,110.78,0.219203102167831,2,0
R13,S2 4d,FALSE,FALSE,13,Treatment A - Sub B 2,1.94,3.88,VS,200,60,399.587910630822,2.21973211207529,111.09,0.219203102167831,2,0
R14,S2 6d,FALSE,FALSE,14,FTreatment B - Sub B 1,5.01,10.02,VS,200,60,103.66261688841,42.3219639534124,110.42,25.5406969364581,7,3.53553390593274
R15,S2 6d,FALSE,FALSE,15,FTreatment B - Sub B 2,5.01,10.02,VS,200,60,163.514912297591,42.3219639534124,146.54,25.5406969364581,2,3.53553390593274
 
BioGasFermentation:BioGasData,735,7
 
Row,reactor,time,product,production,net_product,yield,rel_production
153,4,5,2314.14,212.54,2106.85614951768,376.897343384201,58.69
154,4,6,2562.26,247.96,2335.18647106109,417.743554751537,64.98
155,4,7,2904.21,341.95,2653.99459003215,474.775418610403,73.66
156,4,8,3085.42,181.21,2818.99628617363,504.292716667913,78.25
157,4,9,3173.58,88.16,2894.35860128617,517.774347278385,80.49
158,4,10,3252.93,79.35,2961.62090032154,529.80695891262,82.5
159,4,11,3338.73,85.8,3032.65503215434,542.514317022244,84.68
160,4,12,3407.85,69.11,3088.7257073955,552.544849265742,86.43
161,4,13,3453.19,45.34,3125.33020900322,559.093060644582,87.58
162,4,14,3499.79,46.44,3162.4847266881,565.739664881593,88.76
163,4,15,3538.2,38.57,3192.51871382637,571.112471167507,89.73
164,4,16,3578.19,39.99,3224.04732315113,576.752651726498,90.75
165,4,17,3617.08,38.73,3255.05110932476,582.298946211943,91.73
166,4,18,3656.75,39.67,3286.96970257235,588.008891336735,92.74
167,4,19,3688.08,31.33,3311.11897909968,592.328976583127,93.54
168,4,20,3708.71,20.62,3323.74593247588,594.587823340945,94.06
169,4,21,3728.54,19.84,3337.95897106109,597.13040627211,94.56
170,4,22,3747.75,19.21,3352.28446141479,599.69310579871,95.05
171,4,23,3766.01,18.26,3366.25759646302,602.192772175854,95.51
172,4,24,3783.02,17,3379.46154340836,604.554837819027,95.94
173,4,25,3799.7,16.69,3392.26808681672,606.84581159512,96.37
174,4,26,3813.56,14.01,3402.96012057878,608.75851888708,96.72
175,4,27,3828.36,14.8,3414.22817524116,610.774271062819,97.09
176,4,28,3845.83,17.48,3427.57307877813,613.161552554228,97.54
177,4,29,3858.27,12.28,3437.00688102894,614.849173708218,97.85
178,4,30,3866.46,8.34,3443.40844051447,615.99435429597,98.06
179,4,31,3874.64,8.19,3449.86740353698,617.149803852769,98.27
180,4,32,3882.67,7.87,3456.15389871383,618.274400485479,98.47
181,4,33,3889.6,6.93,3461.36286173633,619.206236446571,98.65
182,4,34,3897.94,8.34,3467.89195337621,620.374231373203,98.86
183,4,35,3908.49,10.55,3476.12776527331,621.847542982703,99.13
184,4,36,3918.72,10.23,3484.73109324759,623.3865998654,99.38
185,4,37,3921.24,2.52,3486.24004019293,623.656536707142,99.45
186,4,38,3923.92,2.52,3487.9134807074,623.955899947656,99.52
187,4,39,3926.44,2.52,3489.44938906752,624.230659940523,99.58
188,4,40,3928.96,2.52,3490.70669614148,624.455580705095,99.64
189,4,41,3931.79,2.68,3492.25153536977,624.731938348797,99.72
190,4,42,3934.78,2.99,3494.06871382637,625.057014995772,99.79
191,4,43,3937.62,2.99,3496.27062700965,625.45091717525,99.86
192,4,44,3940.61,2.99,3498.61355305466,625.87004526917,99.94
193,4,45,3942.97,2.99,3500.3579340836,626.182099120501,100
194,4,46,3942.97,2.99,3499.73782154341,626.071166644617,100
195,4,47,3942.97,2.99,3499.11770900322,625.960234168733,100
196,4,48,3942.97,2.99,3498.68183279743,625.882259892205,100
197,5,0,0,0,0,0,0
